"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
FW6800;FROZETIC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6800-small.png;;;;0;;
FW6841;CLIMACOOL VENTO W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6841-small.png;;;;0;;
FW6897;X GHOSTED.1 FG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6897-small.png;;;;0;;
FW6937;X GHOSTED.3 IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6937-small.png;;;;0;;
FW6940;X GHOSTED.3 TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6940-small.png;;;;0;;
FW6944;X GHOSTED.3 TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW6944-small.png;;;;0;;
FW7097;FROZETIC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW7097-small.png;;;;0;;
FW7409;NEMEZIZ .3 IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FW7409-small.png;;;;0;;
FX1368;adizero ubersonic 4 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX1368-small.png;;;;0;;
FX1397;NITE JOGGER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX1397-small.png;;;;0;;
FX1973;COPA SENSE.4 IN J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX1973-small.png;;;;0;;
FX2254;EQ21 RUN EL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX2254-small.png;;;;0;;
FX2255;EQ21 RUN EL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX2255-small.png;;;;0;;
FX3593;CORERACER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3593-small.png;;;;0;;
FX3594;CORERACER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3594-small.png;;;;0;;
FX3603;CORERACER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3603-small.png;;;;0;;
FX3614;CORERACER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3614-small.png;;;;0;;
FX3624;ULTIMASHOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3624-small.png;;;;0;;
FX3632;ULTIMASHOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3632-small.png;;;;0;;
FX3638;ULTIMASHOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX3638-small.png;;;;;0;
FX4575;TERREX AX3;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX4575-small.png;;;;0;;
FX4661;TERREX HIKSTER LEA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX4661-small.png;;;;0;;
FX4829;RESPONSE SUPER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX4829-small.png;;;;0;;
FX4833;RESPONSE SUPER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX4833-small.png;;;;0;;
FX5497;GAZELLE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5497-small.png;;;;0;;
FX5522;STAN SMITH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5522-small.png;;;;0;;
FX5550;STAN SMITH;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5550-small.png;;;;0;;
FX5679;STAN SMITH W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5679-small.png;;;;0;;
FX5724;SUPERCOURT PREMIUM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5724-small.png;;;;0;;
FX5895;ADILETTE BOOST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX5895-small.png;;;;0;;
FX6231;MULTIX J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX6231-small.png;;;;0;;
FX6787;NMD_R1;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX6787-small.png;;;;0;;
FX7022;ZX 700 HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX7022-small.png;;;;0;;
FX7038;ZX 2K BOOST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX7038-small.png;;;;0;;
FX7565;Superstar W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX7565-small.png;;;;0;;
FX8707;BREAKNET;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX8707-small.png;;;;0;;
FX8921;PUREMOTION MEN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX8921-small.png;;;;0;;
FX9701;STREETBALL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX9701-small.png;;;;0;;
FX9869;FortaRun Predator AC K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FX9869-small.png;;;;0;;
FY0007;ALPHATORSION W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY0007-small.png;;;;0;;
FY0129;SUPERSTAR BOLD W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY0129-small.png;;;;0;;
FY0613;PREDATOR FREAK .3 FG J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY0613-small.png;;;;0;;
FY0818;NEMEZIZ .3 IN J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY0818-small.png;;;;0;;
FY0969;STAN SMITH CF C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY0969-small.png;;;;0;;
FY0984;PREDATOR FREAK .3 L IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY0984-small.png;;;;0;;
FY1553;FortaRun AC K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY1553-small.png;;;;0;;
FY2110;SWIFT RUN X;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY2110-small.png;;;;0;;
FY2136;SWIFT RUN X W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY2136-small.png;;;;0;;
FY3058;FortaRun AC K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3058-small.png;;;;0;;
FY3059;FortaRun AC K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3059-small.png;;;;0;;
FY3060;FortaRun AC I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3060-small.png;;;;0;;
FY3293;X SPEEDFLOW.4 FxG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3293-small.png;;;;0;;
FY3298;X SPEEDFLOW.3 FG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3298-small.png;;;;0;;
FY3300;X SPEEDFLOW.3 IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3300-small.png;;;;0;;
FY3310;X SPEEDFLOW.3 TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3310-small.png;;;;0;;
FY3346;X SPEEDFLOW.4 IN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY3346-small.png;;;;0;;
FY4368;SUPERSTAR 360 C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY4368-small.png;;;;0;;
FY5440;SWIFT RUN X W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY5440-small.png;;;;0;;
FY5441;SWIFT RUN X W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY5441-small.png;;;;0;;
FY5649;ZX 1K BOOST;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY5649-small.png;;;;0;;
FY5958;RUN 60s 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY5958-small.png;;;;0;;
FY5959;FLUIDFLOW 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY5959-small.png;;;;0;;
FY6153;COPA SENSE.3 FG J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6153-small.png;;;;0;;
FY6162;COPA SENSE.4 IN J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6162-small.png;;;;0;;
FY6166;COPA SENSE.4 TF J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6166-small.png;;;;0;;
FY6188;COPA SENSE.3 TF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6188-small.png;;;;0;;
FY6192;COPA SENSE.3 IN SALA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6192-small.png;;;;0;;
FY6288;PREDATOR FREAK .3 IN J;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6288-small.png;;;;0;;
FY6289;PREDATOR FREAK .3 L FG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6289-small.png;;;;0;;
FY6327;PREDATOR FREAK .4 IN SALA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6327-small.png;;;;0;;
FY6717;GALAXY 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6717-small.png;;;;0;;
FY6718;GALAXY 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6718-small.png;;;;0;;
FY6721;GALAXY 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY6721-small.png;;;;0;;
FY7821;CRAZYCHAOS SHADOW;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY7821-small.png;;;;0;;
FY8096;ADILETTE AQUA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8096-small.png;;;;0;;
FY8105;ADILETTE AQUA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8105-small.png;;;;0;;
FY8110;EEZAY FLIP FLOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8110-small.png;;;;0;;
FY8115;EEZAY FLIP FLOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8115-small.png;;;;0;;
FY8183;LITE RACER RBN 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8183-small.png;;;;0;;
FY8247;QT RACER 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8247-small.png;;;;0;;
FY8633;ROGUERA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8633-small.png;;;;0;;
FY8654;COMFORT FLIP FLOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8654-small.png;;;;0;;
FY8931;GRAND COURT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8931-small.png;;;;0;;
FY8950;GRAND COURT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8950-small.png;;;;0;;
FY8976;GALAXAR Run M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY8976-small.png;;;;0;;
FY9000;STAN SMITH W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9000-small.png;;;;0;;
FY9191;TENSAUR C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9191-small.png;;;;0;;
FY9196;TENSAUR RUN C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9196-small.png;;;;0;;
FY9506;BREAKNET K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9506-small.png;;;;0;;
FY9576;RESPONSE RUN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9576-small.png;;;;0;;
FY9580;RESPONSE RUN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9580-small.png;;;;0;;
FY9834;SUPERSTAR SMR 360 C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FY9834-small.png;;;;0;;
FZ0381;LITE RACER 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ0381-small.png;;;;0;;
FZ0383;LITE RACER 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ0383-small.png;;;;0;;
FZ0953;LITE RACER ADAPT 3.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ0953-small.png;;;;0;;
FZ1384;Harden Stepback 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ1384-small.png;;;;0;;
FZ1961;OZWEEGO;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ1961-small.png;;;;0;;
FZ2225;TERREX VOYAGER 21;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ2225-small.png;;;;0;;
FZ2230;TERREX VOYAGER 21 W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ2230-small.png;;;;0;;
FZ2389;CLIMACOOL VENT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ2389-small.png;;;;0;;
FZ2830;TERREX TWO BOA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ2830-small.png;;;;0;;
FZ2950;COURTPHASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ2950-small.png;;;;0;;
FZ2952;COURTPHASE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ2952-small.png;;;;0;;
FZ3438;MULTIX;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ3438-small.png;;;;0;;
FZ3439;MULTIX;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ3439-small.png;;;;0;;
FZ3454;MULTIX W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ3454-small.png;;;;0;;
FZ3900;ZX 2K BOOST W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ3900-small.png;;;;0;;
FZ5440;LEGO Sport EL K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/FZ5440-small.png;;;;0;;
G15878;Calo 3;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G15878-small.png;;;;0;;
G25887;WINTERBOOT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G25887-small.png;;;;0;;
G26455;TERREX PATHMAKER R.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G26455-small.png;;;;0;;
G26524;TERREX AX3 BETA MID C.RDY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G26524-small.png;;;;0;;
G26880;FALCON W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G26880-small.png;;;;0;;
G27625;ADILETTE SHOWER K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G27625-small.png;;;;;44;
G27637;U_PATH RUN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G27637-small.png;;;;0;;
G27707;CONTINENTAL 80;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G27707-small.png;;;;0;;
G27728;ADILETTE COMFORT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G27728-small.png;;;;0;;
G28215;CONTINENTAL 80 C;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28215-small.png;;;;0;;
G28218;CONTINENTAL 80 EL I;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28218-small.png;;;;0;;
G28341;WINTERBOOT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28341-small.png;;;;0;;
G28523;COPA 20.4 FG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28523-small.png;;;;0;;
G28828;alphabounce rc 2 m;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28828-small.png;;;;0;;
G28942;climawarm 2.0 m;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28942-small.png;;;;0;;
G28958;climawarm 2.0 w;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G28958-small.png;;;;0;;
G55666;STAN SMITH W;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G55666-small.png;;;;0;;
G55780;ZX 700 HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G55780-small.png;;;;0;;
G55781;ZX 700 HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G55781-small.png;;;;0;;
G58890;PRO N3XT 2021;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G58890-small.png;;;;0;;
G58891;PRO N3XT 2021;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G58891-small.png;;;;0;;
G58892;PRO N3XT 2021;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G58892-small.png;;;;0;;
G62110;ZX 700;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G62110-small.png;;;;0;;
G63499;ZX 700;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G63499-small.png;;;;0;;
G70908;Needle Repl Set;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/G70908-small.png;;;;0;;
GC6919;W STACKED FZ HD;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GC6919-small.png;;;;0;;
GC7692;BT 2.0 BRA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GC7692-small.png;;;;0;;
GC7712;ULT ALPHA BRA;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GC7712-small.png;;;;0;;
GC7868;OWN THE RUN TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GC7868-small.png;;;;;0;
GC7958;MUFC H JSY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GC7958-small.png;;;;0;;
GC8735;MTS Athl Tiro;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GC8735-small.png;;;;0;;
GD1133;Multi Pants;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD1133-small.png;;;;0;;
GD1652;Shopper;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD1652-small.png;;;;0;;
GD1659;BP MINI PU;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD1659-small.png;;;;0;;
GD2081;CLASSICS SP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2081-small.png;;;;0;;
GD2242;CUFFED PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2242-small.png;;;;0;;
GD2246;HALFZIP HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2246-small.png;;;;0;;
GD2258;TREFOIL TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2258-small.png;;;;0;;
GD2367;SST PANTS PB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2367-small.png;;;;0;;
GD2368;SST PANTS PB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2368-small.png;;;;0;;
GD2374;SST TRACKTOP PB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2374-small.png;;;;0;;
GD2375;SST TRACKTOP PB;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2375-small.png;;;;0;;
GD2518;Down Puffer;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2518-small.png;;;;0;;
GD2524;DOT AOP PUFFER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2524-small.png;;;;0;;
GD2674;SST TRACKTOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2674-small.png;;;;0;;
GD2697;Down JAcket;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2697-small.png;;;;0;;
GD2705;TREFOIL PANTS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2705-small.png;;;;0;;
GD2710;POLAR FLEECE TP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2710-small.png;;;;0;;
GD2815;HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2815-small.png;;;;0;;
GD2851;Down JAcket;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2851-small.png;;;;0;;
GD2942;HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD2942-small.png;;;;0;;
GD3071;CARGO PANT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3071-small.png;;;;0;;
GD3076;HOODIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3076-small.png;;;;0;;
GD3092;REGULAR JOGGER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3092-small.png;;;;0;;
GD3455;MID CUT FULL GL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3455-small.png;;;;0;;
GD3526;QUILTED PNT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3526-small.png;;;;0;;
GD3534;QUILTED JKT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3534-small.png;;;;0;;
GD3577;MID CUT CRW SCK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3577-small.png;;;;0;;
GD3724;INF DY MM SUM 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD3724-small.png;;;;0;;
GD4411;WTS NEW CO MARK;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4411-small.png;;;;0;;
GD4435;ADV BEANIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4435-small.png;;;;0;;
GD4491;BASEB CLASS TRE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4491-small.png;;;;0;;
GD4556;AC CLASSIC BP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4556-small.png;;;;0;;
GD4559;AC CUFF KNIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4559-small.png;;;;0;;
GD4560;AC CUFF KNIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4560-small.png;;;;0;;
GD4572;WAFFLE CUFF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4572-small.png;;;;0;;
GD4573;WAFFLE CUFF;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4573-small.png;;;;0;;
GD4581;AC BOBBLE KNIT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4581-small.png;;;;0;;
GD4595;AC JACQUARD POM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4595-small.png;;;;0;;
GD4596;AC JACQUARD POM;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4596-small.png;;;;0;;
GD4754;B A.R. X TTOP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD4754-small.png;;;;0;;
GD5452;M E COMF PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD5452-small.png;;;;0;;
GD5457;M E COMF HD TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD5457-small.png;;;;0;;
GD5458;M E COMF HD TT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD5458-small.png;;;;0;;
GD5468;M E COMF SWT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD5468-small.png;;;;0;;
GD5748;W FTW Pant;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD5748-small.png;;;;0;;
GD5796;BX-20 HOODY;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD5796-small.png;;;;0;;
GD6346;YG E LIN TEE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD6346-small.png;;;;0;;
GD8959;4ATHLTS CAP;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GD8959-small.png;;;;0;;
GE0049;G Bold Tee 2;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GE0049-small.png;;;;0;;
GE0595;LOGO WOOLIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GE0595-small.png;;;;0;;
GE0596;LOGO WOOLIE;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GE0596-small.png;;;;0;;
GE0663;B 3S FZ;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GE0663-small.png;;;;0;;
GE0667;B 3S TAPERED P;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GE0667-small.png;;;;0;;
