"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
ID8760;GALAXY 7 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID8760-small.png;2 366;62;4666%;18;3;2
IC6747;M 3S TR TT TS;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IC6747-small.png;2 365;54;41%;41;547;94
JI9106;W ALL SZN E PT;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JI9106-small.png;2 353;55;;24;;
JS3832;SAMBA OG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS3832-small.png;2 333;51;;32;;37
IF0641;SAMBA DECON;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF0641-small.png;2 331;46;;;50;
IE8794;ULTRARUN 5;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IE8794-small.png;2 327;49;;5;0;4
JR8764;SL 72 RTN;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JR8764-small.png;2 220;26;;30;;105
JS4494;adizero Evo SL M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/JS4494-small.png;2 215;37;;6;;4
HQ1348;ADIZERO SL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ1348-small.png;2 203;28;;43;;15
KI1056;HOOPS CLASSIC;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/KI1056-small.png;2 097;52;;20;;23
ID2859;TERREX WINTER BOOT MID LEATHER;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/ID2859-small.png;2 092;50;5144%;;694;
